ID_Transaccion,Categoria_Producto,Precio_Unitario,Cantidad,Descuento_Aplicado,Tiempo_En_Web_Minutos,Distancia_Envio_Km,Costo_Envio,Total_Compra
1,Postres Individuales,8087.0,7,0.05,24.0,2.4,6600.0,62129.0
2,Bebidas,75310.0,10,0.05,24.4,3.8,8700.0,722663.0
3,Panaderia Artesanal,30195.0,13,0.1,34.3,4.9,10350.0,360504.0
4,Bebidas,15318.0,7,0.0,25.0,1.6,5400.0,112012.0
5,Bebidas,42477.0,4,0.1,28.2,13.3,22950.0,177567.0
6,Galletas y Brownies,52864.0,12,0.1,24.5,2.3,6450.0,578421.0
7,Panaderia Artesanal,7478.0,1,0.1,44.6,10.6,18900.0,25064.0
8,Panaderia Artesanal,26992.0,1,0.05,35.9,7.8,14700.0,43220.0
9,Panaderia Artesanal,7624.0,4,0.0,34.4,12.6,21900.0,53561.0
10,Bebidas,38627.0,4,0.0,28.8,11.2,19800.0,173405.0
11,Postres Individuales,76608.0,6,0.1,24.5,11.5,20250.0,435681.0
12,Panaderia Artesanal,83612.0,7,0.0,16.5,6.6,12900.0,595811.0
13,Bebidas,55964.0,9,0.0,35.6,12.6,21900.0,526072.0
14,Galletas y Brownies,17931.0,9,0.05,9.7,1.9,5850.0,158365.0
15,Postres Individuales,77468.0,10,0.1,3.1,6.9,13350.0,710460.0
16,Galletas y Brownies,46300.0,12,0.0,31.9,14.9,25350.0,581858.0
17,Postres Individuales,17300.0,12,0.2,7.8,14.2,24300.0,191768.0
18,Bebidas,78738.0,5,0.0,40.8,1.7,5550.0,399408.0
19,Tortas Personalizadas,65598.0,10,0.05,35.0,8.8,16200.0,639050.0
20,Postres Individuales,63536.0,11,0.05,27.7,5.1,10650.0,672022.0
21,Galletas y Brownies,61734.0,3,0.0,15.2,11.1,19650.0,202511.0
22,Bebidas,21027.0,3,0.15,29.3,11.2,19800.0,69558.0
23,Postres Individuales,21881.0,6,0.0,22.2,0.5,3750.0,135285.0
24,Tortas Personalizadas,60063.0,1,0.0,14.2,12.8,22200.0,83648.0
25,Tortas Personalizadas,22578.0,7,0.1,42.6,3.7,8550.0,147212.0
26,Panaderia Artesanal,40094.0,3,0.05,8.5,14.5,24750.0,140597.0
27,Panaderia Artesanal,67560.0,5,0.2,34.3,13.6,23400.0,295725.0
28,Galletas y Brownies,67716.0,7,0.0,36.3,3.3,7950.0,482235.0
29,Postres Individuales,41261.0,7,0.0,42.9,9.7,17550.0,308688.0
30,Postres Individuales,68375.0,9,0.0,25.4,4.8,10200.0,625510.0
31,Panaderia Artesanal,72090.0,1,0.1,24.8,2.0,6000.0,68996.0
32,Postres Individuales,57382.0,3,0.05,41.5,13.2,22800.0,185843.0
33,Postres Individuales,23274.0,9,0.2,36.3,3.1,7650.0,177630.0
34,Tortas Personalizadas,26921.0,8,0.1,34.7,6.6,12900.0,205811.0
35,Panaderia Artesanal,30187.0,2,0.15,35.8,13.9,23850.0,75797.0
36,Bebidas,14344.0,8,0.2,23.0,1.6,5400.0,98017.0
37,Panaderia Artesanal,26853.0,8,0.0,3.3,8.5,15750.0,232337.0
38,Bebidas,21762.0,2,0.0,10.1,8.8,16200.0,56927.0
39,Tortas Personalizadas,41426.0,8,0.0,29.5,11.6,20400.0,353886.0
40,Galletas y Brownies,77675.0,3,0.0,18.7,12.5,21750.0,253357.0
41,Postres Individuales,13358.0,7,0.05,27.9,6.7,13050.0,104154.0
42,Tortas Personalizadas,62621.0,13,0.0,25.5,11.3,19950.0,833477.0
43,Postres Individuales,59983.0,9,0.0,20.6,13.7,23550.0,562858.0
44,Galletas y Brownies,12660.0,4,0.0,11.7,13.4,23100.0,74896.0
45,Galletas y Brownies,78806.0,11,0.0,32.8,7.8,14700.0,883522.0
46,Tortas Personalizadas,50478.0,6,0.0,41.0,9.3,16950.0,319110.0
47,Galletas y Brownies,34098.0,9,0.0,35.0,10.3,18450.0,324909.0
48,Bebidas,65523.0,11,0.0,6.7,12.4,21600.0,741441.0
49,Galletas y Brownies,25589.0,11,0.0,24.9,7.9,14850.0,295466.0
50,Postres Individuales,60481.0,5,0.1,37.8,2.1,6150.0,279059.0
51,Postres Individuales,8177.0,12,0.0,27.2,6.1,12150.0,110138.0
52,Postres Individuales,72153.0,1,0.15,20.6,10.9,19350.0,82567.0
53,Postres Individuales,40854.0,3,0.05,13.9,9.5,17250.0,132644.0
54,Bebidas,55935.0,11,0.0,15.9,11.4,20100.0,636515.0
55,Panaderia Artesanal,22699.0,9,0.05,12.0,7.7,14550.0,209694.0
56,Tortas Personalizadas,59166.0,3,0.0,10.0,3.0,7500.0,184576.0
57,Postres Individuales,66779.0,11,0.0,27.1,2.2,6300.0,740487.0
58,Galletas y Brownies,42857.0,11,0.1,23.7,7.5,14250.0,439265.0
59,Postres Individuales,54418.0,10,0.15,33.5,3.5,8250.0,469765.0
60,Galletas y Brownies,41506.0,2,0.2,14.9,14.7,25050.0,90914.0
61,Galletas y Brownies,76527.0,4,0.05,21.5,3.4,8100.0,296945.0
62,Postres Individuales,44830.0,5,0.0,31.1,8.7,16050.0,238836.0
63,Bebidas,72345.0,7,0.0,43.4,0.5,3750.0,508613.0
64,Galletas y Brownies,69108.0,7,0.05,16.7,4.2,9300.0,467462.0
65,Galletas y Brownies,37840.0,9,0.1,14.5,4.3,9450.0,313319.0
66,Postres Individuales,23407.0,13,0.0,21.0,11.2,19800.0,321614.0
67,Galletas y Brownies,37487.0,8,0.15,33.0,7.7,14550.0,270765.0
